Diffusion	The passive movement of particles from an area of high concentration to low concentration. This happens along a concentration gradient
Osmosis	A passive movement of water molecules through a semi permeable membrane. Water moves from an area of low solute concentration to high solute concentration
Active Transport	An active movement where an input of energy is required. Particles move from low concentration to high concentration
Facilitated Diffusion	A passive movement of particles from high to low concentration through a protein channel in a cell.
Isotonic Solution	The same concentration of dissolved substances. Water in = water out.
Hypertonic Solution	Higher concentration of solutes outside cell than inside
Plasmolyse	When a cell has shrunk
Hypotonic Solution	A cell has more solute inside than outside.
Turgid	Cell may explode under pressure due to a hypotonic solution.
Exocytosis	Movement out of a cell
Endocytosis	Movement into a cell
Lysosome	A vesicle that contains destructive/digestive chemicals
Pinocytosis	A form of endocytosis where a cell engulfs liquid into the cell.
Phagocytosis	A form of endocytosis where a cell engulfs solids into a cell
Scientific question	Questions that can be answered by using experiments and factual reasoning.
Biology	The study of living organisms and how they function.
Scientific Method	A method of procedure that has characterized natural science since the 17th century, consisting in systematic observation, measurement, and experiment, and the formulation, testing, and modification of hypotheses.
Hypothesis	1st part of the scientific method
experimental design	Experimental design refers to how participants are allocated to the different conditions (or IV groups) in an experiment.
variable	factors that are kept constant or unchanging.
observation	The process of studying of something to gain information.
inference	A conclusion made up of facts and inferring knowledge.
conclusion	The final ending or idea of a process
prediction	A statement about the hypothesis
qualitative observations	detailed examination with your senses only
quantitative observations	measuring something with numbers
homeostasis	Balancing human or any living organisms
metabolism	The chemical processes occurring within a living cell or organism that are necessary for the maintenance of life
heredity	The genetic transmission of characteristics from parent to offspring.
Golgi apparatus	packages proteins from the ER and materials and sends them to other parts of the cell
Smooth ER	network or tubular membranes within the cytoplasm of the cell with a smooth surface; functions in a variety of different metabolic processes such as synthesis of lipids, oils, phospholipid and steroids; process drugs, alcohol, and store calcium ions
Rough ER	network of tubular membanes within the cytoplasm of the cell with a rough surface (ribosomes are attached to it); helps the ribosomes make proteins, such as insulin
Organelles	tiny structures within the cell that carry out specific functions
plasma membrane	forms a flexible boundary between the living cell and its surroundings; made if phospholipids
nucleus	oval-shaped organelle that contains DNA and controls much of the cell's activities by directing protein synthesis
mitochondrion	carries out cellular respiration; rod-shaped organelle that makes energy for the cell to function with; converts the energy stored in food to energy the cell can use (ATP); "powerhouse" of cell
nucleolus	nuclear subdomain that assembles ribosomal subunits in eukaryotic cells; makes rRNA to form the subunits of ribosomes, which then exit to the cytoplasm
chromatin	complex of DNA and proteins that form within the nucleus of eukaryotic cells; directs the cells' functions
vacuole	sac-like organelle that holds water, food and organisms; can also store waste products until removed
chloroplast	green structure that captures energy from sunlight and changes it to energy that cells can use in making food.
prokaryote	plant, bacteria or archea cell
eukaryote	animal cell with nucleus
plasmodesma	
ribosomes	small grain-shaped organelle that produces proteins
cell membrane	thin, flexible barrier that surrounds the cell and controls what goes in and out; found in animal cells
cytoplasm	the thick fluid region of a cell inside the membrane or next to the nucleus
lysosome	membrane-enclosed sac of digestive enzymes; contains chemicals that break down bigger food particles so they can be used in the cell; also break down used cell parts. The cell's "recycling center".
cell wall	rigid layer surrounding the cells of plants
multicellular	made of many cells
unicellular	single-celled organism
centriole	small set of microtubules arranged in a specific way
phospholipid bilayer	thin membrane of lipid molecules
cytosol	part of cytoplasm not held by an organelle
cilia	the appendages that propel certain cells
cytoskeleton	networks of protein fibers that extend through the cell
cell theory	all living things are composed of cells and all cells come from other cells
why are cells so small?	smaller cells have more surface area across which to pass oxygen, nutrients and waste materials
flagella	a projection from a prokaryotic cell that propels it through its liquid environment
cellular metabolism	chemical activities of cells
nuclear envelope	double membrane enclosing the nucleus; controls the flow of materials in and out of the nucleus
where are ribosomes found?	free-floating in the cytosol, or bound to the rough ER or the nuclear envelope
endomembrane system	A system of membranes that are specific to a eukaryotic cell. Some are physically connected, while others link when vesicles transfer membrane segments between them.
vesicle	sacs made of membranes
what makes up the endomembrane system?	nuclear envelope, endoplasmic reticulum, golgi apparatus, lysosomes, vacuoles and the plasma membrane.
What does the Golgi apparatus do?	processes, warehouses and ships (outside and inside cell) ER products
cristae	folds in the mitochondria that increase the surface area and therefore its ability to produce ATP
ATP	Adenine Triphosphate - main energy source for cellular work
stroma	
thylakoids	
